Date,Open,High,Low,Close,Adj Close,Volume
2023-08-31,1.912000,1.912000,1.912000,1.912000,1.912000,0
2023-09-04,1.913000,1.913000,1.913000,1.913000,1.913000,0
2023-09-05,1.906000,1.906000,1.906000,1.906000,1.906000,0
2023-09-06,1.906000,1.906000,1.906000,1.906000,1.906000,0
2023-09-07,1.907000,1.907000,1.907000,1.907000,1.907000,0
2023-09-08,1.897000,1.897000,1.897000,1.897000,1.897000,0
2023-09-11,1.904000,1.904000,1.904000,1.904000,1.904000,0
2023-09-12,1.901000,1.901000,1.901000,1.901000,1.901000,0
2023-09-13,1.904000,1.904000,1.904000,1.904000,1.904000,0
2023-09-14,1.923000,1.923000,1.923000,1.923000,1.923000,0
2023-09-15,1.942000,1.942000,1.942000,1.942000,1.942000,0
2023-09-18,1.931000,1.931000,1.931000,1.931000,1.931000,0
2023-09-19,1.920000,1.920000,1.920000,1.920000,1.920000,0
2023-09-20,1.920000,1.920000,1.920000,1.920000,1.920000,0
2023-09-21,1.897000,1.897000,1.897000,1.897000,1.897000,0
2023-09-22,1.900000,1.900000,1.900000,1.900000,1.900000,0
2023-09-25,1.906000,1.906000,1.906000,1.906000,1.906000,0
2023-09-26,1.907000,1.907000,1.907000,1.907000,1.907000,0
2023-09-27,1.898000,1.898000,1.898000,1.898000,1.898000,0
2023-09-28,1.901000,1.901000,1.901000,1.901000,1.901000,0
2023-09-29,1.909000,1.909000,1.909000,1.909000,1.909000,0
2023-10-02,1.905000,1.905000,1.905000,1.905000,1.905000,0
2023-10-03,1.896000,1.896000,1.896000,1.896000,1.896000,0
2023-10-04,1.871000,1.871000,1.871000,1.871000,1.871000,0
2023-10-05,1.877000,1.877000,1.877000,1.877000,1.877000,0
2023-10-06,1.889000,1.889000,1.889000,1.889000,1.889000,0
2023-10-09,1.885000,1.885000,1.885000,1.885000,1.885000,0
2023-10-10,1.905000,1.905000,1.905000,1.905000,1.905000,0
2023-10-11,1.904000,1.904000,1.904000,1.904000,1.904000,0
2023-10-12,1.918000,1.918000,1.918000,1.918000,1.918000,0
2023-10-13,1.898000,1.898000,1.898000,1.898000,1.898000,0
2023-10-16,1.887000,1.887000,1.887000,1.887000,1.887000,0
2023-10-17,1.891000,1.891000,1.891000,1.891000,1.891000,0
2023-10-18,1.873000,1.873000,1.873000,1.873000,1.873000,0
